"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002287","BP","GO:0002287","alpha-beta T cell activation involved in immune response","3/94","69/18723",0.00505399071078761,0.0394757652815573,0.0310777807170154,"HLA-DRA/CD86/MYB",3
"GO:0002293","BP","GO:0002293","alpha-beta T cell differentiation involved in immune response","3/94","69/18723",0.00505399071078761,0.0394757652815573,0.0310777807170154,"HLA-DRA/CD86/MYB",3
"GO:1901224","BP","GO:1901224","positive regulation of NIK/NF-kappaB signaling","3/94","69/18723",0.00505399071078761,0.0394757652815573,0.0310777807170154,"LAPTM5/CD86/TREM2",3
"GO:0032693","BP","GO:0032693","negative regulation of interleukin-10 production","2/94","22/18723",0.0053962618125362,0.0415081279344515,0.0326777831593647,"TYROBP/FCGR2B",2
"GO:0045624","BP","GO:0045624","positive regulation of T-helper cell differentiation","2/94","22/18723",0.0053962618125362,0.0415081279344515,0.0326777831593647,"CD86/MYB",2
"GO:0050860","BP","GO:0050860","negative regulation of T cell receptor signaling pathway","2/94","22/18723",0.0053962618125362,0.0415081279344515,0.0326777831593647,"LAPTM5/GBP1",2
"GO:0071404","BP","GO:0071404","cellular response to low-density lipoprotein particle stimulus","2/94","22/18723",0.0053962618125362,0.0415081279344515,0.0326777831593647,"ITGB2/FCER1G",2
"GO:1901214","BP","GO:1901214","regulation of neuron death","6/94","319/18723",0.00542144114042628,0.0415438463147059,0.0327059028926035,"ITGB2/TYROBP/FCGR2B/C5AR1/TREM2/MYB",6
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","4/94","142/18723",0.00570843296361496,0.0434141349074927,0.0341783105419447,"S100A8/ALOX5AP/TREM2/TNFRSF11A",4
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","4/94","142/18723",0.00570843296361496,0.0434141349074927,0.0341783105419447,"CXCL10/CXCL11/CXCL9/LIME1",4
"GO:0006833","BP","GO:0006833","water transport","2/94","23/18723",0.00589097355221432,0.04447375527625,0.0350125096823198,"AQP9/UPK3A",2
"GO:0050848","BP","GO:0050848","regulation of calcium-mediated signaling","3/94","73/18723",0.00591371239214595,0.04447375527625,0.0350125096823198,"GBP1/CCL4/TREM2",3
"GO:1904427","BP","GO:1904427","positive regulation of calcium ion transmembrane transport","3/94","73/18723",0.00591371239214595,0.04447375527625,0.0350125096823198,"CXCL10/CXCL11/CXCL9",3
"GO:0010324","BP","GO:0010324","membrane invagination","4/94","144/18723",0.0059949393523605,0.0449176381845381,0.0353619619497911,"ITGB2/MARCO/FCGR2B/TREM2",4
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","6/94","327/18723",0.00610045116518817,0.0455395302847811,0.0358515541383946,"MNDA/TYROBP/LY96/FCGR2B/SLAMF8/TREM2",6
"GO:0006801","BP","GO:0006801","superoxide metabolic process","3/94","74/18723",0.00614144620738339,0.045677006167414,0.0359597837142843,"NCF2/ITGB2/TYROBP",3
"GO:0045580","BP","GO:0045580","regulation of T cell differentiation","4/94","146/18723",0.006290879015206,0.046446540507786,0.0365656090684914,"HLA-DRA/CD86/MYB/TCF7",4
"GO:0033077","BP","GO:0033077","T cell differentiation in thymus","3/94","75/18723",0.00637436383969245,0.046446540507786,0.0365656090684914,"MAFB/BCL11B/ZFP36L2",3
"GO:0034121","BP","GO:0034121","regulation of toll-like receptor signaling pathway","3/94","75/18723",0.00637436383969245,0.046446540507786,0.0365656090684914,"RSAD2/TREM2/SMPDL3B",3
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","5/94","233/18723",0.00640012260965676,0.046446540507786,0.0365656090684914,"CXCL10/CXCL11/CXCL9/MARCO/FPR1",5
"GO:0002922","BP","GO:0002922","positive regulation of humoral immune response","2/94","24/18723",0.00640562768248754,0.046446540507786,0.0365656090684914,"FCGR2B/TREM2",2
"GO:0032928","BP","GO:0032928","regulation of superoxide anion generation","2/94","24/18723",0.00640562768248754,0.046446540507786,0.0365656090684914,"ITGB2/TYROBP",2
"GO:0090023","BP","GO:0090023","positive regulation of neutrophil chemotaxis","2/94","24/18723",0.00640562768248754,0.046446540507786,0.0365656090684914,"C5AR1/DAPK2",2
"GO:0014074","BP","GO:0014074","response to purine-containing compound","4/94","148/18723",0.00659638411637444,0.0476588752408053,0.0375200344664456,"AQP9/TRPM4/P2RY2/REN",4
"GO:0032368","BP","GO:0032368","regulation of lipid transport","4/94","149/18723",0.00675276444551207,0.0486150977696474,0.0382728323883115,"TREM2/MYB/TNFRSF11A/REN",4
"GO:0032753","BP","GO:0032753","positive regulation of interleukin-4 production","2/94","25/18723",0.00694001586331991,0.049089692627609,0.0386464630151013,"FCER1G/CD86",2
"GO:0035902","BP","GO:0035902","response to immobilization stress","2/94","25/18723",0.00694001586331991,0.049089692627609,0.0386464630151013,"REN/HNMT",2
"GO:0048143","BP","GO:0048143","astrocyte activation","2/94","25/18723",0.00694001586331991,0.049089692627609,0.0386464630151013,"C5AR1/TREM2",2
"GO:0098581","BP","GO:0098581","detection of external biotic stimulus","2/94","25/18723",0.00694001586331991,0.049089692627609,0.0386464630151013,"LY96/TREM2",2
"GO:1901623","BP","GO:1901623","regulation of lymphocyte chemotaxis","2/94","25/18723",0.00694001586331991,0.049089692627609,0.0386464630151013,"CXCL10/CCL4",2
"GO:0030902","BP","GO:0030902","hindbrain development","4/94","151/18723",0.0070728609984871,0.0496819368053451,0.0391127145128325,"MAFB/FCGR2B/C5AR1/EGR2",4
"GO:1904064","BP","GO:1904064","positive regulation of cation transmembrane transport","4/94","151/18723",0.0070728609984871,0.0496819368053451,0.0391127145128325,"CXCL10/CXCL11/CXCL9/TREM2",4
"GO:0042613","CC","GO:0042613","MHC class II protein complex","4/97","17/19550",1.28973797089989e-06,0.000140310108986635,0.000105973142083275,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0070820","CC","GO:0070820","tertiary granule","8/97","164/19550",1.58542496030096e-06,0.000140310108986635,0.000105973142083275,"ITGB2/FCER1G/CD53/TNFAIP6/MMP9/FPR1/CEACAM8/QPCT",8
"GO:0042611","CC","GO:0042611","MHC protein complex","4/97","25/19550",6.6495282785293e-06,0.000392322168433229,0.000296312312762534,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0071556","CC","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","4/97","29/19550",1.22963118175475e-05,0.000435289438341183,0.00032876454754285,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0098553","CC","GO:0098553","lumenal side of endoplasmic reticulum membrane","4/97","29/19550",1.22963118175475e-05,0.000435289438341183,0.00032876454754285,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0030667","CC","GO:0030667","secretory granule membrane","9/97","311/19550",2.4368883381883e-05,0.000718882059765549,0.000542955822719148,"ITGB2/TYROBP/FCER1G/CD53/C5AR1/FCGR3B/FPR1/CEACAM8/ICA1",9
"GO:0098576","CC","GO:0098576","lumenal side of membrane","4/97","36/19550",2.96954551999961e-05,0.000750870795771331,0.000567116212090152,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0101002","CC","GO:0101002","ficolin-1-rich granule","7/97","185/19550",3.80200446361547e-05,0.000841193487574922,0.000635334956419953,"MNDA/ITGB2/FCER1G/TNFAIP6/MMP9/FPR1/QPCT",7
"GO:0009897","CC","GO:0009897","external side of plasma membrane","10/97","421/19550",4.56855182950098e-05,0.00089848185980186,0.000678603605083772,"ITGB2/FCER1G/CLEC2B/CXCL10/CXCL9/FCGR2B/CD86/BTNL8/TNFRSF11A/GPC4",10
"GO:0042581","CC","GO:0042581","specific granule","6/97","160/19550",0.000146297298106761,0.00258946217648967,0.00195576387995354,"ITGB2/CD53/CHI3L1/CEACAM8/FRK/QPCT",6
"GO:0012507","CC","GO:0012507","ER to Golgi transport vesicle membrane","4/97","62/19550",0.000254811859289063,0.00410015446310583,0.00309675656743646,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0030669","CC","GO:0030669","clathrin-coated endocytic vesicle membrane","4/97","72/19550",0.000452476940137543,0.00649318321798612,0.00490415860056044,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0070821","CC","GO:0070821","tertiary granule membrane","4/97","73/19550",0.000476900462337964,0.00649318321798612,0.00490415860056044,"ITGB2/FCER1G/CD53/CEACAM8",4
"GO:0045334","CC","GO:0045334","clathrin-coated endocytic vesicle","4/97","91/19550",0.00109406858795851,0.0138321528620469,0.0104471211030625,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0030134","CC","GO:0030134","COPII-coated ER to Golgi transport vesicle","4/97","94/19550",0.00123427931494549,0.0145644959163568,0.0110002437191633,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0032588","CC","GO:0032588","trans-Golgi network membrane","4/97","100/19550",0.00155161243287654,0.0171647125386968,0.0129641301957448,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:1904724","CC","GO:1904724","tertiary granule lumen","3/97","55/19550",0.00257692566712153,0.0256681060962619,0.0193865564925677,"TNFAIP6/MMP9/QPCT",3
"GO:0030665","CC","GO:0030665","clathrin-coated vesicle membrane","4/97","116/19550",0.00266767594536526,0.0256681060962619,0.0193865564925677,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0030666","CC","GO:0030666","endocytic vesicle membrane","5/97","193/19550",0.00275533342276258,0.0256681060962619,0.0193865564925677,"HLA-DPB1/HLA-DRA/HLA-DPA1/MARCO/HLA-DQA1",5
"GO:1904813","CC","GO:1904813","ficolin-1-rich granule lumen","4/97","124/19550",0.00339163623837874,0.0267205407107451,0.0201814372302386,"MNDA/TNFAIP6/MMP9/QPCT",4
"GO:0101003","CC","GO:0101003","ficolin-1-rich granule membrane","3/97","61/19550",0.00346014131070691,0.0267205407107451,0.0201814372302386,"ITGB2/FCER1G/FPR1",3
"GO:0005765","CC","GO:0005765","lysosomal membrane","7/97","395/19550",0.00352632162709065,0.0267205407107451,0.0201814372302386,"LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1/FPR1/CEACAM8",7
"GO:0098852","CC","GO:0098852","lytic vacuole membrane","7/97","395/19550",0.00352632162709065,0.0267205407107451,0.0201814372302386,"LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1/FPR1/CEACAM8",7
"GO:0035580","CC","GO:0035580","specific granule lumen","3/97","62/19550",0.00362312416416882,0.0267205407107451,0.0201814372302386,"CHI3L1/FRK/QPCT",3
"GO:0030658","CC","GO:0030658","transport vesicle membrane","5/97","212/19550",0.00411335510478005,0.0291225541418428,0.0219956251918765,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1/ICA1",5
"GO:0034774","CC","GO:0034774","secretory granule lumen","6/97","322/19550",0.0053750252816904,0.0365696803716028,0.0276202759868781,"S100A8/MNDA/SRGN/CHI3L1/FRK/QPCT",6
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","6/97","325/19550",0.00561837517238086,0.0365696803716028,0.0276202759868781,"S100A8/MNDA/SRGN/CHI3L1/FRK/QPCT",6
"GO:0031983","CC","GO:0031983","vesicle lumen","6/97","327/19550",0.00578503418307841,0.0365696803716028,0.0276202759868781,"S100A8/MNDA/SRGN/CHI3L1/FRK/QPCT",6
"GO:0030139","CC","GO:0030139","endocytic vesicle","6/97","336/19550",0.0065800978954691,0.0390355951320963,0.0294827272184135,"NCF2/HLA-DPB1/HLA-DRA/HLA-DPA1/MARCO/HLA-DQA1",6
"GO:0005774","CC","GO:0005774","vacuolar membrane","7/97","444/19550",0.00661620256476208,0.0390355951320963,0.0294827272184135,"LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1/FPR1/CEACAM8",7
"GO:0005766","CC","GO:0005766","primary lysosome","4/97","155/19550",0.0074450648433239,0.0411805149146353,0.0311027379967808,"MNDA/FPR1/CEACAM8/FRK",4
"GO:0042582","CC","GO:0042582","azurophil granule","4/97","155/19550",0.0074450648433239,0.0411805149146353,0.0311027379967808,"MNDA/FPR1/CEACAM8/FRK",4
"GO:0030176","CC","GO:0030176","integral component of endoplasmic reticulum membrane","4/97","162/19550",0.00866915470360193,0.0464981934102285,0.0351190637115612,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0008009","MF","GO:0008009","chemokine activity","8/94","49/18368",1.31859036067825e-10,3.41514903415666e-08,3.02581788029324e-08,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"GO:0042379","MF","GO:0042379","chemokine receptor binding","8/94","72/18368",3.17940652530246e-09,4.11733145026669e-07,3.64795064482072e-07,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"GO:0140375","MF","GO:0140375","immune receptor activity","8/94","144/18368",7.40155552570371e-07,6.39000960385754e-05,5.6615407179067e-05,"FCER1G/HLA-DRA/HLA-DPA1/FCGR2B/FPR3/C5AR1/HLA-DQA1/FPR1",8
"GO:0045236","MF","GO:0045236","CXCR chemokine receptor binding","4/94","18/18368",1.86289821736787e-06,0.000120622659574569,0.000106871529312157,"CXCL10/CXCL11/CXCL9/CXCL5",4
"GO:0001664","MF","GO:0001664","G protein-coupled receptor binding","10/94","295/18368",2.69813711292823e-06,0.000139763502449682,0.000123830292761759,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/MARCO/CXCL5/CCL4/FPR1/CCL20",10
"GO:0023026","MF","GO:0023026","MHC class II protein complex binding","4/94","27/18368",1.03139085935686e-05,0.000382246347358641,0.000338669797700401,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0005126","MF","GO:0005126","cytokine receptor binding","9/94","271/18368",1.03309823610443e-05,0.000382246347358641,0.000338669797700401,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20/TRAF4",9
"GO:0032395","MF","GO:0032395","MHC class II receptor activity","3/94","10/18368",1.51758611007965e-05,0.000491318503138287,0.000435307594733374,"HLA-DRA/HLA-DPA1/HLA-DQA1",3
"GO:0019864","MF","GO:0019864","IgG binding","3/94","11/18368",2.07893733096561e-05,0.000598271965244547,0.000530068231754973,"FCER1G/FCGR2B/FCGR3B",3
"GO:0005125","MF","GO:0005125","cytokine activity","8/94","235/18368",2.75387948997408e-05,0.000650238837275932,0.000576110817013425,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"GO:0004875","MF","GO:0004875","complement receptor activity","3/94","12/18368",2.76163212742674e-05,0.000650238837275932,0.000576110817013425,"FPR3/C5AR1/FPR1",3
"GO:0023023","MF","GO:0023023","MHC protein complex binding","4/94","36/18368",3.3419021907719e-05,0.000665809744161478,0.000589906621528966,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0042605","MF","GO:0042605","peptide antigen binding","4/94","36/18368",3.3419021907719e-05,0.000665809744161478,0.000589906621528966,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0048020","MF","GO:0048020","CCR chemokine receptor binding","4/94","48/18368",0.00010533202297561,0.00194864242504878,0.00172649481268293,"CCL18/CCL8/CCL4/CCL20",4
"GO:0019865","MF","GO:0019865","immunoglobulin binding","3/94","23/18368",0.000213415798547818,0.00368497945492566,0.00326488730409995,"FCER1G/FCGR2B/FCGR3B",3
"GO:0042277","MF","GO:0042277","peptide binding","8/94","321/18368",0.000241071320375809,0.0039023419985834,0.00345747025275831,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/MARCO/FCGR2B/TREM2/HLA-DQA1",8
"GO:0001540","MF","GO:0001540","amyloid-beta binding","4/94","84/18368",0.000907732092217658,0.0138295654049631,0.0122529780869009,"ITGB2/MARCO/FCGR2B/TREM2",4
"GO:0033218","MF","GO:0033218","amide binding","8/94","400/18368",0.0010271447182377,0.0141491361697113,0.0125361173948265,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/MARCO/FCGR2B/TREM2/HLA-DQA1",8
"GO:0005504","MF","GO:0005504","fatty acid binding","3/94","39/18368",0.00103796751824137,0.0141491361697113,0.0125361173948265,"S100A8/ALOX5AP/UGT1A8",3
"GO:0050786","MF","GO:0050786","RAGE receptor binding","2/94","10/18368",0.00113531561251649,0.0147023371820886,0.0130262528172945,"S100A8/FPR1",2
"GO:0035325","MF","GO:0035325","Toll-like receptor binding","2/94","12/18368",0.00165406246788676,0.0204001037706034,0.0180744670676348,"S100A8/LY96",2
"GO:0015026","MF","GO:0015026","coreceptor activity","3/94","48/18368",0.00190020538517605,0.0223705997618453,0.0198203241133196,"LY96/CD86/GPC4",3
"GO:0036041","MF","GO:0036041","long-chain fatty acid binding","2/94","14/18368",0.00226545509730261,0.0255109943565816,0.0226027098952846,"S100A8/ALOX5AP",2
"GO:0048018","MF","GO:0048018","receptor ligand activity","8/94","487/18368",0.00350124291014666,0.0377842464053327,0.0334767962461391,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
"GO:0030546","MF","GO:0030546","signaling receptor activator activity","8/94","495/18368",0.00386237499653398,0.0400142049640921,0.0354525368102909,"CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/CCL20",8
